,Explanation,Metric Result
0,(0.0<=Nitrogen<46.67 & 98.33<=Phosphorus<145.0 & 71.41<=Humidity<99.98 & 3.5<=pH_Value<5.65 & ~46.67<=Nitrogen<93.33 & ~93.33<=Nitrogen<140.0 & ~5.0<=Phosphorus<51.67 & ~51.67<=Phosphorus<98.33 & ~5.0<=Potassium<71.67 & ~71.67<=Potassium<138.33 & ~14.26<=Humidity<42.83 & ~42.83<=Humidity<71.41) | (0.0<=Nitrogen<46.67 & 98.33<=Phosphorus<145.0 & 138.33<=Potassium<205.0 & 3.5<=pH_Value<5.65 & 112.99<=Rainfall<205.78 & ~46.67<=Nitrogen<93.33 & ~93.33<=Nitrogen<140.0 & ~5.0<=Phosphorus<51.67 & ~5.0<=Potassium<71.67 & ~71.67<=Potassium<138.33 & ~8.83<=Temperature<20.44 & ~14.26<=Humidity<42.83 & ~20.21<=Rainfall<112.99) | (0.0<=Nitrogen<46.67 & 98.33<=Phosphorus<145.0 & 138.33<=Potassium<205.0 & 71.41<=Humidity<99.98 & ~46.67<=Nitrogen<93.33 & ~93.33<=Nitrogen<140.0 & ~5.0<=Phosphorus<51.67 & ~51.67<=Phosphorus<98.33 & ~5.0<=Potassium<71.67 & ~71.67<=Potassium<138.33 & ~8.83<=Temperature<20.44 & ~14.26<=Humidity<42.83 & ~42.83<=Humidity<71.41 & ~205.78<=Rainfall<298.56) | (0.0<=Nitrogen<46.67 & 98.33<=Phosphorus<145.0 & 138.33<=Potassium<205.0 & 71.41<=Humidity<99.98 & 112.99<=Rainfall<205.78 & ~46.67<=Nitrogen<93.33 & ~5.0<=Phosphorus<51.67 & ~5.0<=Potassium<71.67 & ~71.67<=Potassium<138.33 & ~8.83<=Temperature<20.44 & ~14.26<=Humidity<42.83 & ~42.83<=Humidity<71.41 & ~3.5<=pH_Value<5.65 & ~20.21<=Rainfall<112.99 & ~205.78<=Rainfall<298.56),82.45614035087718
1,(93.33<=Nitrogen<140.0 & ~0.0<=Nitrogen<46.67 & ~46.67<=Nitrogen<93.33 & ~14.26<=Humidity<42.83 & ~42.83<=Humidity<71.41 & ~205.78<=Rainfall<298.56) | (~0.0<=Nitrogen<46.67 & ~93.33<=Nitrogen<140.0 & ~5.0<=Phosphorus<51.67 & ~138.33<=Potassium<205.0 & ~8.83<=Temperature<20.44 & ~14.26<=Humidity<42.83 & ~42.83<=Humidity<71.41 & ~7.79<=pH_Value<9.94 & ~205.78<=Rainfall<298.56),65.10705789056304
2,(46.67<=Nitrogen<93.33 & 51.67<=Phosphorus<98.33 & 20.21<=Rainfall<112.99 & ~0.0<=Nitrogen<46.67 & ~93.33<=Nitrogen<140.0 & ~5.0<=Phosphorus<51.67 & ~32.06<=Temperature<43.68 & ~14.26<=Humidity<42.83 & ~205.78<=Rainfall<298.56) | (46.67<=Nitrogen<93.33 & 32.06<=Temperature<43.68 & 42.83<=Humidity<71.41 & 20.21<=Rainfall<112.99 & ~0.0<=Nitrogen<46.67 & ~5.0<=Phosphorus<51.67 & ~14.26<=Humidity<42.83 & ~71.41<=Humidity<99.98 & ~112.99<=Rainfall<205.78 & ~205.78<=Rainfall<298.56) | (51.67<=Phosphorus<98.33 & 32.06<=Temperature<43.68 & 42.83<=Humidity<71.41 & ~46.67<=Nitrogen<93.33 & ~93.33<=Nitrogen<140.0 & ~5.0<=Phosphorus<51.67 & ~14.26<=Humidity<42.83 & ~71.41<=Humidity<99.98 & ~112.99<=Rainfall<205.78 & ~205.78<=Rainfall<298.56),65.30285714285714
3,(46.67<=Nitrogen<93.33 & 51.67<=Phosphorus<98.33 & 71.67<=Potassium<138.33 & 7.79<=pH_Value<9.94 & ~0.0<=Nitrogen<46.67 & ~93.33<=Nitrogen<140.0 & ~5.0<=Potassium<71.67 & ~20.44<=Temperature<32.06 & ~32.06<=Temperature<43.68 & ~42.83<=Humidity<71.41 & ~205.78<=Rainfall<298.56) | (46.67<=Nitrogen<93.33 & 51.67<=Phosphorus<98.33 & 71.67<=Potassium<138.33 & 14.26<=Humidity<42.83 & 20.21<=Rainfall<112.99 & ~0.0<=Nitrogen<46.67 & ~93.33<=Nitrogen<140.0 & ~5.0<=Phosphorus<51.67 & ~98.33<=Phosphorus<145.0 & ~5.0<=Potassium<71.67 & ~32.06<=Temperature<43.68 & ~205.78<=Rainfall<298.56) | (0.0<=Nitrogen<46.67 & 51.67<=Phosphorus<98.33 & 71.67<=Potassium<138.33 & 14.26<=Humidity<42.83 & ~46.67<=Nitrogen<93.33 & ~93.33<=Nitrogen<140.0 & ~5.0<=Phosphorus<51.67 & ~98.33<=Phosphorus<145.0 & ~5.0<=Potassium<71.67 & ~32.06<=Temperature<43.68 & ~3.5<=pH_Value<5.65 & ~112.99<=Rainfall<205.78 & ~205.78<=Rainfall<298.56),100.0
4,(112.99<=Rainfall<205.78 & ~46.67<=Nitrogen<93.33 & ~138.33<=Potassium<205.0 & ~8.83<=Temperature<20.44 & ~14.26<=Humidity<42.83 & ~42.83<=Humidity<71.41 & ~20.21<=Rainfall<112.99 & ~205.78<=Rainfall<298.56) | (0.0<=Nitrogen<46.67 & 5.0<=Phosphorus<51.67 & 71.41<=Humidity<99.98 & 3.5<=pH_Value<5.65 & 112.99<=Rainfall<205.78 & ~46.67<=Nitrogen<93.33 & ~93.33<=Nitrogen<140.0 & ~98.33<=Phosphorus<145.0 & ~138.33<=Potassium<205.0 & ~8.83<=Temperature<20.44 & ~14.26<=Humidity<42.83 & ~42.83<=Humidity<71.41 & ~20.21<=Rainfall<112.99) | (0.0<=Nitrogen<46.67 & 5.0<=Phosphorus<51.67 & 205.78<=Rainfall<298.56 & ~46.67<=Nitrogen<93.33 & ~93.33<=Nitrogen<140.0 & ~51.67<=Phosphorus<98.33 & ~138.33<=Potassium<205.0 & ~8.83<=Temperature<20.44 & ~32.06<=Temperature<43.68 & ~14.26<=Humidity<42.83 & ~42.83<=Humidity<71.41 & ~20.21<=Rainfall<112.99 & ~112.99<=Rainfall<205.78),79.77941176470588
5,(46.67<=Nitrogen<93.33 & 5.0<=Phosphorus<51.67 & 42.83<=Humidity<71.41 & 112.99<=Rainfall<205.78 & ~0.0<=Nitrogen<46.67 & ~93.33<=Nitrogen<140.0 & ~51.67<=Phosphorus<98.33 & ~8.83<=Temperature<20.44 & ~32.06<=Temperature<43.68 & ~20.21<=Rainfall<112.99 & ~205.78<=Rainfall<298.56) | (93.33<=Nitrogen<140.0 & 5.0<=Phosphorus<51.67 & 42.83<=Humidity<71.41 & 112.99<=Rainfall<205.78 & ~0.0<=Nitrogen<46.67 & ~46.67<=Nitrogen<93.33 & ~51.67<=Phosphorus<98.33 & ~8.83<=Temperature<20.44 & ~32.06<=Temperature<43.68 & ~20.21<=Rainfall<112.99 & ~205.78<=Rainfall<298.56),100.0
6,(93.33<=Nitrogen<140.0 & 51.67<=Phosphorus<98.33 & ~0.0<=Nitrogen<46.67 & ~46.67<=Nitrogen<93.33 & ~8.83<=Temperature<20.44 & ~14.26<=Humidity<42.83 & ~42.83<=Humidity<71.41 & ~205.78<=Rainfall<298.56) | (93.33<=Nitrogen<140.0 & 7.79<=pH_Value<9.94 & ~0.0<=Nitrogen<46.67 & ~46.67<=Nitrogen<93.33 & ~138.33<=Potassium<205.0 & ~8.83<=Temperature<20.44 & ~14.26<=Humidity<42.83 & ~42.83<=Humidity<71.41 & ~205.78<=Rainfall<298.56) | (~0.0<=Nitrogen<46.67 & ~46.67<=Nitrogen<93.33 & ~93.33<=Nitrogen<140.0 & ~51.67<=Phosphorus<98.33 & ~138.33<=Potassium<205.0 & ~8.83<=Temperature<20.44 & ~14.26<=Humidity<42.83 & ~42.83<=Humidity<71.41 & ~7.79<=pH_Value<9.94 & ~205.78<=Rainfall<298.56),61.58730158730159
7,(0.0<=Nitrogen<46.67 & 98.33<=Phosphorus<145.0 & 138.33<=Potassium<205.0 & 32.06<=Temperature<43.68 & ~46.67<=Nitrogen<93.33 & ~93.33<=Nitrogen<140.0 & ~5.0<=Phosphorus<51.67 & ~51.67<=Phosphorus<98.33 & ~5.0<=Potassium<71.67 & ~14.26<=Humidity<42.83 & ~42.83<=Humidity<71.41 & ~205.78<=Rainfall<298.56) | (0.0<=Nitrogen<46.67 & 98.33<=Phosphorus<145.0 & 138.33<=Potassium<205.0 & 71.41<=Humidity<99.98 & 3.5<=pH_Value<5.65 & ~46.67<=Nitrogen<93.33 & ~93.33<=Nitrogen<140.0 & ~5.0<=Phosphorus<51.67 & ~51.67<=Phosphorus<98.33 & ~5.0<=Potassium<71.67 & ~71.67<=Potassium<138.33 & ~32.06<=Temperature<43.68 & ~14.26<=Humidity<42.83 & ~42.83<=Humidity<71.41) | (0.0<=Nitrogen<46.67 & 98.33<=Phosphorus<145.0 & 138.33<=Potassium<205.0 & 71.41<=Humidity<99.98 & ~46.67<=Nitrogen<93.33 & ~93.33<=Nitrogen<140.0 & ~5.0<=Phosphorus<51.67 & ~51.67<=Phosphorus<98.33 & ~5.0<=Potassium<71.67 & ~71.67<=Potassium<138.33 & ~20.44<=Temperature<32.06 & ~32.06<=Temperature<43.68 & ~14.26<=Humidity<42.83 & ~42.83<=Humidity<71.41),82.62243285939968
8,(46.67<=Nitrogen<93.33 & 51.67<=Phosphorus<98.33 & ~0.0<=Nitrogen<46.67 & ~93.33<=Nitrogen<140.0 & ~5.0<=Phosphorus<51.67 & ~138.33<=Potassium<205.0 & ~14.26<=Humidity<42.83 & ~42.83<=Humidity<71.41 & ~205.78<=Rainfall<298.56) | (46.67<=Nitrogen<93.33 & 112.99<=Rainfall<205.78 & ~0.0<=Nitrogen<46.67 & ~93.33<=Nitrogen<140.0 & ~51.67<=Phosphorus<98.33 & ~8.83<=Temperature<20.44 & ~42.83<=Humidity<71.41 & ~20.21<=Rainfall<112.99 & ~205.78<=Rainfall<298.56) | (93.33<=Nitrogen<140.0 & 112.99<=Rainfall<205.78 & ~0.0<=Nitrogen<46.67 & ~46.67<=Nitrogen<93.33 & ~51.67<=Phosphorus<98.33 & ~8.83<=Temperature<20.44 & ~42.83<=Humidity<71.41 & ~20.21<=Rainfall<112.99 & ~205.78<=Rainfall<298.56) | (46.67<=Nitrogen<93.33 & 51.67<=Phosphorus<98.33 & 42.83<=Humidity<71.41 & 112.99<=Rainfall<205.78 & ~0.0<=Nitrogen<46.67 & ~93.33<=Nitrogen<140.0 & ~5.0<=Phosphorus<51.67 & ~8.83<=Temperature<20.44 & ~32.06<=Temperature<43.68 & ~20.21<=Rainfall<112.99 & ~205.78<=Rainfall<298.56),82.11382113821138
9,(0.0<=Nitrogen<46.67 & 51.67<=Phosphorus<98.33 & 14.26<=Humidity<42.83 & ~46.67<=Nitrogen<93.33 & ~93.33<=Nitrogen<140.0 & ~5.0<=Phosphorus<51.67 & ~98.33<=Phosphorus<145.0 & ~32.06<=Temperature<43.68 & ~112.99<=Rainfall<205.78 & ~205.78<=Rainfall<298.56) | (0.0<=Nitrogen<46.67 & 51.67<=Phosphorus<98.33 & 14.26<=Humidity<42.83 & ~46.67<=Nitrogen<93.33 & ~93.33<=Nitrogen<140.0 & ~5.0<=Phosphorus<51.67 & ~98.33<=Phosphorus<145.0 & ~3.5<=pH_Value<5.65 & ~112.99<=Rainfall<205.78 & ~205.78<=Rainfall<298.56) | (0.0<=Nitrogen<46.67 & 51.67<=Phosphorus<98.33 & 14.26<=Humidity<42.83 & 112.99<=Rainfall<205.78 & ~46.67<=Nitrogen<93.33 & ~93.33<=Nitrogen<140.0 & ~5.0<=Phosphorus<51.67 & ~8.83<=Temperature<20.44 & ~3.5<=pH_Value<5.65 & ~20.21<=Rainfall<112.99 & ~205.78<=Rainfall<298.56),75.66266105591947
10,0.0<=Nitrogen<46.67 & 51.67<=Phosphorus<98.33 & 42.83<=Humidity<71.41 & ~46.67<=Nitrogen<93.33 & ~93.33<=Nitrogen<140.0 & ~5.0<=Phosphorus<51.67 & ~14.26<=Humidity<42.83 & ~3.5<=pH_Value<5.65,77.68762677484787
11,(46.67<=Nitrogen<93.33 & ~0.0<=Nitrogen<46.67 & ~93.33<=Nitrogen<140.0 & ~51.67<=Phosphorus<98.33 & ~205.78<=Rainfall<298.56) | (93.33<=Nitrogen<140.0 & ~0.0<=Nitrogen<46.67 & ~46.67<=Nitrogen<93.33 & ~51.67<=Phosphorus<98.33 & ~205.78<=Rainfall<298.56) | (46.67<=Nitrogen<93.33 & 20.21<=Rainfall<112.99 & ~0.0<=Nitrogen<46.67 & ~93.33<=Nitrogen<140.0 & ~5.0<=Phosphorus<51.67 & ~32.06<=Temperature<43.68 & ~205.78<=Rainfall<298.56),54.40524387892809
12,(0.0<=Nitrogen<46.67 & 42.83<=Humidity<71.41 & 20.21<=Rainfall<112.99 & ~46.67<=Nitrogen<93.33 & ~93.33<=Nitrogen<140.0 & ~51.67<=Phosphorus<98.33 & ~8.83<=Temperature<20.44 & ~112.99<=Rainfall<205.78) | (32.06<=Temperature<43.68 & 42.83<=Humidity<71.41 & ~46.67<=Nitrogen<93.33 & ~93.33<=Nitrogen<140.0 & ~51.67<=Phosphorus<98.33 & ~71.41<=Humidity<99.98 & ~112.99<=Rainfall<205.78 & ~205.78<=Rainfall<298.56),88.83059739380606
13,(42.83<=Humidity<71.41 & ~46.67<=Nitrogen<93.33 & ~93.33<=Nitrogen<140.0 & ~51.67<=Phosphorus<98.33 & ~112.99<=Rainfall<205.78) | (0.0<=Nitrogen<46.67 & 51.67<=Phosphorus<98.33 & 42.83<=Humidity<71.41 & 3.5<=pH_Value<5.65 & ~46.67<=Nitrogen<93.33 & ~93.33<=Nitrogen<140.0 & ~5.0<=Phosphorus<51.67 & ~98.33<=Phosphorus<145.0 & ~14.26<=Humidity<42.83 & ~71.41<=Humidity<99.98) | (0.0<=Nitrogen<46.67 & 51.67<=Phosphorus<98.33 & 5.0<=Potassium<71.67 & 14.26<=Humidity<42.83 & 7.79<=pH_Value<9.94 & ~46.67<=Nitrogen<93.33 & ~93.33<=Nitrogen<140.0 & ~5.0<=Phosphorus<51.67 & ~98.33<=Phosphorus<145.0 & ~71.67<=Potassium<138.33 & ~42.83<=Humidity<71.41 & ~205.78<=Rainfall<298.56) | (5.0<=Potassium<71.67 & 42.83<=Humidity<71.41 & 7.79<=pH_Value<9.94 & ~46.67<=Nitrogen<93.33 & ~98.33<=Phosphorus<145.0 & ~71.67<=Potassium<138.33 & ~138.33<=Potassium<205.0 & ~8.83<=Temperature<20.44 & ~14.26<=Humidity<42.83 & ~71.41<=Humidity<99.98 & ~5.65<=pH_Value<7.79 & ~112.99<=Rainfall<205.78 & ~205.78<=Rainfall<298.56),73.03921568627452
14,51.67<=Phosphorus<98.33 & 5.0<=Potassium<71.67 & ~5.0<=Phosphorus<51.67 & ~98.33<=Phosphorus<145.0 & ~71.67<=Potassium<138.33 & ~138.33<=Potassium<205.0 & ~8.83<=Temperature<20.44 & ~14.26<=Humidity<42.83 & ~42.83<=Humidity<71.41 & ~205.78<=Rainfall<298.56,54.31275958659325
15,93.33<=Nitrogen<140.0 & ~0.0<=Nitrogen<46.67 & ~46.67<=Nitrogen<93.33 & ~51.67<=Phosphorus<98.33 & ~138.33<=Potassium<205.0 & ~8.83<=Temperature<20.44 & ~14.26<=Humidity<42.83 & ~42.83<=Humidity<71.41 & ~7.79<=pH_Value<9.94 & ~205.78<=Rainfall<298.56,69.07431189476242
16,(0.0<=Nitrogen<46.67 & 8.83<=Temperature<20.44 & 7.79<=pH_Value<9.94 & ~42.83<=Humidity<71.41) | (32.06<=Temperature<43.68 & ~138.33<=Potassium<205.0 & ~8.83<=Temperature<20.44 & ~14.26<=Humidity<42.83 & ~42.83<=Humidity<71.41 & ~205.78<=Rainfall<298.56) | (32.06<=Temperature<43.68 & 112.99<=Rainfall<205.78 & ~46.67<=Nitrogen<93.33 & ~8.83<=Temperature<20.44 & ~14.26<=Humidity<42.83 & ~42.83<=Humidity<71.41 & ~20.21<=Rainfall<112.99) | (8.83<=Temperature<20.44 & 112.99<=Rainfall<205.78 & ~46.67<=Nitrogen<93.33 & ~138.33<=Potassium<205.0 & ~14.26<=Humidity<42.83 & ~42.83<=Humidity<71.41 & ~20.21<=Rainfall<112.99 & ~205.78<=Rainfall<298.56),55.59066175179919
17,(51.67<=Phosphorus<98.33 & 32.06<=Temperature<43.68 & ~5.0<=Phosphorus<51.67 & ~138.33<=Potassium<205.0 & ~8.83<=Temperature<20.44 & ~14.26<=Humidity<42.83 & ~42.83<=Humidity<71.41 & ~205.78<=Rainfall<298.56) | (32.06<=Temperature<43.68 & ~0.0<=Nitrogen<46.67 & ~5.0<=Phosphorus<51.67 & ~138.33<=Potassium<205.0 & ~8.83<=Temperature<20.44 & ~14.26<=Humidity<42.83 & ~42.83<=Humidity<71.41 & ~20.21<=Rainfall<112.99 & ~205.78<=Rainfall<298.56) | (32.06<=Temperature<43.68 & ~0.0<=Nitrogen<46.67 & ~93.33<=Nitrogen<140.0 & ~5.0<=Phosphorus<51.67 & ~138.33<=Potassium<205.0 & ~8.83<=Temperature<20.44 & ~14.26<=Humidity<42.83 & ~42.83<=Humidity<71.41 & ~7.79<=pH_Value<9.94 & ~205.78<=Rainfall<298.56),70.19459725757451
18,(0.0<=Nitrogen<46.67 & 42.83<=Humidity<71.41 & 3.5<=pH_Value<5.65 & 112.99<=Rainfall<205.78 & ~46.67<=Nitrogen<93.33 & ~93.33<=Nitrogen<140.0 & ~8.83<=Temperature<20.44 & ~14.26<=Humidity<42.83 & ~71.41<=Humidity<99.98 & ~20.21<=Rainfall<112.99) | (0.0<=Nitrogen<46.67 & 51.67<=Phosphorus<98.33 & 14.26<=Humidity<42.83 & 3.5<=pH_Value<5.65 & 112.99<=Rainfall<205.78 & ~46.67<=Nitrogen<93.33 & ~93.33<=Nitrogen<140.0 & ~5.0<=Phosphorus<51.67 & ~8.83<=Temperature<20.44 & ~20.21<=Rainfall<112.99 & ~205.78<=Rainfall<298.56) | (0.0<=Nitrogen<46.67 & 51.67<=Phosphorus<98.33 & 112.99<=Rainfall<205.78 & ~46.67<=Nitrogen<93.33 & ~93.33<=Nitrogen<140.0 & ~5.0<=Phosphorus<51.67 & ~98.33<=Phosphorus<145.0 & ~8.83<=Temperature<20.44 & ~14.26<=Humidity<42.83 & ~71.41<=Humidity<99.98 & ~3.5<=pH_Value<5.65 & ~20.21<=Rainfall<112.99),76.48902821316614
19,(~138.33<=Potassium<205.0 & ~14.26<=Humidity<42.83 & ~42.83<=Humidity<71.41 & ~205.78<=Rainfall<298.56) | (~46.67<=Nitrogen<93.33 & ~51.67<=Phosphorus<98.33 & ~138.33<=Potassium<205.0 & ~14.26<=Humidity<42.83 & ~42.83<=Humidity<71.41),43.8058748403576
20,(46.67<=Nitrogen<93.33 & 205.78<=Rainfall<298.56 & ~0.0<=Nitrogen<46.67 & ~93.33<=Nitrogen<140.0 & ~14.26<=Humidity<42.83 & ~42.83<=Humidity<71.41) | (93.33<=Nitrogen<140.0 & 205.78<=Rainfall<298.56 & ~0.0<=Nitrogen<46.67 & ~46.67<=Nitrogen<93.33 & ~14.26<=Humidity<42.83 & ~42.83<=Humidity<71.41),90.98311383135692
21,46.67<=Nitrogen<93.33 & ~0.0<=Nitrogen<46.67 & ~93.33<=Nitrogen<140.0 & ~14.26<=Humidity<42.83 & ~42.83<=Humidity<71.41 & ~205.78<=Rainfall<298.56,56.52422957956238
